game[49] stats={'a': -1, 'b': 0.5, 'c': 0.0, 'd': -0.5, 'e': -1} media=60.6
game[50] stats={'a': -0.5, 'b': 0.5, 'c': 0.0, 'd': -0.5, 'e': -1} media=69.0
game[51] stats={'a': 0.0, 'b': 0.5, 'c': 0.0, 'd': -0.5, 'e': -1} media=26.2
game[52] stats={'a': -1, 'b': 1.0, 'c': 0.0, 'd': -0.5, 'e': -1} media=55.8
game[53] stats={'a': -0.5, 'b': 1.0, 'c': 0.0, 'd': -0.5, 'e': -1} media=67.6
game[54] stats={'a': 0.0, 'b': 1.0, 'c': 0.0, 'd': -0.5, 'e': -1} media=16.6
game[55] stats={'a': -1, 'b': 0, 'c': -1, 'd': 0.0, 'e': -1} media=50.4
game[56] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': 0.0, 'e': -1} media=16.6
game[57] stats={'a': 0.0, 'b': 0, 'c': -1, 'd': 0.0, 'e': -1} media=0.0
game[58] stats={'a': -1, 'b': 0.5, 'c': -1, 'd': 0.0, 'e': -1} media=58.6
game[59] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': 0.0, 'e': -1} media=21.2
game[60] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': 0.0, 'e': -1} media=0.0
game[61] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': 0.0, 'e': -1} media=45.4
game[62] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': 0.0, 'e': -1} media=3.6
game[63] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': 0.0, 'e': -1} media=0.0
game[64] stats={'a': -1, 'b': 0, 'c': -0.5, 'd': 0.0, 'e': -1} media=60.6
game[65] stats={'a': -0.5, 'b': 0, 'c': -0.5, 'd': 0.0, 'e': -1} media=84.6
game[66] stats={'a': 0.0, 'b': 0, 'c': -0.5, 'd': 0.0, 'e': -1} media=0.0
game[67] stats={'a': -1, 'b': 0.5, 'c': -0.5, 'd': 0.0, 'e': -1} media=83.0
game[68] stats={'a': -0.5, 'b': 0.5, 'c': -0.5, 'd': 0.0, 'e': -1} media=74.4
